Circuit.cim_src, {F2B20B7D-2D9E-4706-BB48-06B9EF14337A}
OpLimALo=BaseV_115.0000=1, {A6184608-2020-42CB-AD25-E3B3DAEF9F94}
OpLimBHi=BaseV_115.0000=1, {37A6B369-13E1-4CA4-910E-938266A7AEC0}
OpLimBLo=BaseV_115.0000=1, {A0ACF49F-1616-4A24-9D40-E709EA779EA5}
BaseV=BaseV_230.0000=1, {3782F23E-F406-4EBE-BE0B-DAE0B458566F}
OpLimV=OpLimV_230.0000=1, {65223DF7-7B4E-4C25-9D6F-973006BFE816}
OpLimAHi=BaseV_230.0000=1, {B89A98FF-30AF-4B58-B3D4-F0F5CFA6E731}
OpLimALo=BaseV_230.0000=1, {53B22DA7-AFE9-4503-B8CD-BD8442ABF977}
OpLimBHi=BaseV_230.0000=1, {E15AB5F9-967B-41DB-A81E-4E94912A8956}
OpLimBLo=BaseV_230.0000=1, {00A9C6DE-2730-4AEB-BD73-DBB582BF77D7}
Topo=sourcebus=1, {A80D219B-5AA2-4A81-A2C2-9EA7FC3FD2D2}
OpLimV=OpLimV_0.0000=1, {E6553651-DFD2-4A37-813A-60C03CC2886D}
BaseV=BaseV_0.0000=1, {FF74D1EE-466E-4D46-BA95-67AFEA74C664}
SrcLoc=source=1, {9B81766D-B142-42AF-A688-DC1CE3E11835}
25=source=1, {E577AB83-3715-4804-BB6A-47E7238276F8}
PosPt=Vsource.source=1, {F4E20DD3-9005-4CF4-AD23-67415347E9F8}
LoadResp=ConstkVA=1, {744FCE25-3B3F-4183-B8C5-676A1E5A09D4}
LoadResp=ConstZ=1, {CB3F89C1-5ACB-47CB-AF29-9C45124894E9}
LoadResp=ConstPQuadQ=1, {59B437C9-04D8-4502-8999-4CDE19ACA57C}
LoadResp=LinPQuadQ=1, {3F7692A7-DF7B-4F0A-8F42-C45E67344A72}
LoadResp=ConstI=1, {95704C66-7172-41DC-A60B-E547BDBDDCDD}
LoadResp=ConstQ=1, {C2A20706-7666-42D1-A5EC-B54A15515510}
LoadResp=ConstX=1, {53BA662D-E70C-4F54-8BAF-40DEED446391}
