Circuit.cim_xfmr, {7D6BFC5C-A334-4C79-98FF-11BE76DC80C8}
OpLimV=OpLimV_12.4700=1, {14DE2AFC-A468-4408-9D3E-7CCCE6607C35}
OpLimAHi=BaseV_12.4700=1, {569B488A-EC6F-4148-8E1F-EC94B3BB6D71}
OpLimALo=BaseV_12.4700=1, {9C288006-FCD8-4930-975F-B103B61FA339}
OpLimBHi=BaseV_12.4700=1, {C553E4A0-AE0B-42C6-BE23-462326D5050E}
OpLimBLo=BaseV_12.4700=1, {82ECDFEB-7C02-43C2-B116-BE038A66A49D}
BaseV=BaseV_7.2000=1, {DD9D5E4F-2393-4E9C-AE06-4BC407A07A33}
OpLimV=OpLimV_7.2000=1, {0F0DE2AC-1DF5-4D1A-911D-0DF163A81F29}
OpLimAHi=BaseV_7.2000=1, {800D3AA5-78EA-4A80-B4B0-A5976F7A25FD}
OpLimALo=BaseV_7.2000=1, {AC7A7443-94B3-4121-9C65-62E53121AF9C}
OpLimBHi=BaseV_7.2000=1, {F0B447C6-52FB-404C-B222-9769EC29CB57}
OpLimBLo=BaseV_7.2000=1, {D1522F5A-6DC8-4085-9030-3152556452A7}
BaseV=BaseV_4.1600=1, {1CAC63D8-DCDE-42CC-AC6C-7CAFE5FC9C15}
OpLimV=OpLimV_4.1600=1, {73103099-8EF9-497E-90E0-8CD4BCD5AD7E}
OpLimAHi=BaseV_4.1600=1, {8765E81F-1287-427D-8137-4425153EBE52}
OpLimALo=BaseV_4.1600=1, {2DF93A95-DDF8-4C8C-BAC2-352B65916060}
OpLimBHi=BaseV_4.1600=1, {4EAE0E3F-1C14-4437-AC7B-3327E1FA985E}
OpLimBLo=BaseV_4.1600=1, {E5ABF084-E1F3-4D31-932D-54495F7C2975}
BaseV=BaseV_0.4800=1, {0C3A4CF1-C6C9-4D76-A887-27F5ED321BE0}
OpLimV=OpLimV_0.4800=1, {81A91FC0-24CD-45AC-9B52-47007B9E4ADA}
OpLimAHi=BaseV_0.4800=1, {E7955DA3-AB93-415D-90B4-B1DDBC5CEF64}
OpLimALo=BaseV_0.4800=1, {C8B0F4DD-36DB-45EA-A061-7069440FD694}
OpLimBHi=BaseV_0.4800=1, {C38673CD-2043-4072-8D98-A90C17AE5983}
OpLimBLo=BaseV_0.4800=1, {337C81A5-B08F-4C38-BF5F-C01A2A56177C}
Topo=sourcebus=1, {D4DB8C84-4575-4F3E-9623-705AD9F13CB0}
Topo=low=1, {5C026E2B-3AB5-4541-857A-750B129B3162}
Topo=tert=1, {0180A845-35C5-4E5C-94E0-7DCFE400E9C7}
Topo=sub2=1, {97F5EB27-A91E-465F-9F00-A688933A40C4}
Topo=mid2=1, {9B6DCFF2-51CF-4059-BCDD-7517BDB4650C}
Topo=mv=1, {AFA91BC6-827D-4F1A-B3B8-AD93D3F2FD01}
Topo=regout=1, {DFAA2697-2461-43A2-A246-94C9DB1D265A}
Topo=lv2=1, {3A0C63AE-F58C-40EE-B168-9DAF63141A43}
Topo=load2=1, {C3198FBF-1C71-4570-8B7A-C39DBE7D855C}
Topo=lv3=1, {4532F57E-03F5-48D3-8928-EED5E9C47CC5}
Topo=tert3=1, {0A1E936F-3067-4A90-81FF-2F942FF3331B}
SrcLoc=source=1, {5834B4AE-C0D7-420F-9AE0-AAF9E9DF51CD}
25=source=1, {BBB83796-081E-41D5-A57D-385B3267970D}
PosPt=Vsource.source=1, {C534C17B-D597-42A7-AF28-4218E4D906CC}
SrcLoc=s2=1, {C4699738-1289-46CE-93C0-9EF8A9647673}
25=s2=1, {65A61192-B556-418C-AD7B-570C828EB9EC}
PosPt=Vsource.s2=1, {A148EBF3-5F85-4E8D-8371-D042D2B1657F}
Bank==t1=0, {29C42602-822F-4FF0-83A7-E099DECEBEDA}
XfLoc=t1=1, {FF57AEE7-61E8-4B8C-9B49-F117E1111431}
PosPt=AutoTrans.t1=1, {DFD7E106-568B-4A9D-A9B2-6877B4C59E1B}
PosPt=AutoTrans.t1=2, {7BBFDE95-6753-4012-8957-C83B3BAE270D}
PosPt=AutoTrans.t1=3, {A6B39967-F058-4AF7-A6B7-377CE05C124B}
Wdg=t1=1, {7F279FFC-4197-4BC3-A72E-DEB91386C714}
Wdg=t1=2, {9358CD0C-857C-4235-B621-BEFDB728C7BE}
Wdg=t1=3, {C74CBD6B-C80E-41A7-9260-67B9558BF4DF}
XfCore=t1=1, {E4F81218-DF29-4DFE-B558-5A32A3C80725}
XfMesh=t1=1, {F9FA049B-1D1E-4163-896B-CD9201220661}
XfMesh=t1=2, {688A40E7-8117-47CA-A2B8-B5EB6D8D1A17}
XfMesh=t1=3, {14B0759B-D81A-4CD0-A35C-F158C6F64A15}
298=t1=1, {713ABBB7-74D3-4F0D-BC64-74CD9BC28A14}
OpLimI=OpLimI_1139.0_1553.2=0, {C3FC3DB2-116A-4209-A186-1EB75681FCAF}
298=t1=2, {05A014C4-EE0F-4813-A0A3-0F9971D43F48}
298=t1=3, {BE49C873-9096-411B-92B6-82DD4CA8B693}
Bank==t2=0, {FB20BE53-0B2B-40D8-930E-3DC838A77353}
XfLoc=t2=1, {6233428C-195A-4FD2-BEFD-41D247923FC6}
PosPt=AutoTrans.t2=1, {1ED2DFDD-21C1-466E-84D8-3EE17B51BFEB}
PosPt=AutoTrans.t2=2, {F94EEEB0-F493-4FA3-AED9-3BC0ED65591D}
Wdg=t2=1, {8DE556DC-9F6C-47EE-BE18-9F0D1F7153FB}
Wdg=t2=2, {84D45FA3-F28A-403A-A34C-E1BCC5A72F70}
XfCore=t2=1, {5644D646-493C-4086-8904-288F9D7417EC}
XfMesh=t2=1, {A4AFAF21-DA8F-46FA-B9D9-F375A7B8D34A}
XfMesh=t2=2, {6C0AB59B-4348-49B5-A5CA-96BC635F1CC9}
XfMesh=t2=3, {2B87E8FC-6E32-46FE-8209-4C8192463DCB}
298=t2=1, {FB3276D4-BAC7-4FBA-8AE2-65250B6BFF1C}
OpLimI=OpLimI_690.3_941.3=0, {A919A88E-C435-4831-A338-8968B1658150}
298=t2=2, {3C42054C-AAA8-400B-83AF-8E9F2233D102}
TankInfo=cimxfmrcode_reg1t=1, {F9B56AD7-272B-47AC-8BE4-F6C0DC5ABEB2}
TankInfo=cimxfmrcode_reg2t=1, {A14C5A21-D152-4BBB-9BFF-E0DAE3C2F44E}
TankInfo=cimxfmrcode_reg3t=1, {C5264634-E5CA-4D52-9EB9-E8C12E9B470B}
WdgInf=tc1=1, {71A3D9B8-5036-4281-B518-9BE4FECD223C}
WdgInf=tc1=2, {076D78DC-15AA-4194-B268-7FB88F421FD4}
OcTest=tc1=1, {971B5FC3-0F73-48F8-BE1C-1E06DAC2C5F0}
ScTest=tc1=1, {18C31F57-7841-46E0-8722-024ED1A5D646}
WdgInf=cimxfmrcode_reg1t=1, {1DBA21D6-7831-4844-8EC3-13836C0CD52E}
WdgInf=cimxfmrcode_reg1t=2, {10F46A63-C604-4557-B62E-50BFF792D5C1}
OcTest=cimxfmrcode_reg1t=1, {6C1CA0EE-B7D6-48AC-8633-8AB64D02EE15}
ScTest=cimxfmrcode_reg1t=1, {F0A90B2C-3181-4534-B210-71894EC45006}
WdgInf=cimxfmrcode_reg2t=1, {F2969A20-A3F8-42B7-8361-0B73F918753A}
WdgInf=cimxfmrcode_reg2t=2, {B048137A-A201-430B-8164-5F9C74F32B1F}
OcTest=cimxfmrcode_reg2t=1, {F4F3A34E-4AFC-4ED7-BF2C-A6866A0C626E}
ScTest=cimxfmrcode_reg2t=1, {D8A4080A-1A6E-4C16-8951-256D15613F29}
WdgInf=cimxfmrcode_reg3t=1, {9A610559-0676-4EF9-B2F5-AE73F51E3511}
WdgInf=cimxfmrcode_reg3t=2, {FABF5A09-B962-41E3-B129-86A961CF11B3}
OcTest=cimxfmrcode_reg3t=1, {72B69109-F214-4A1A-B1F9-BDFB2CA761C5}
ScTest=cimxfmrcode_reg3t=1, {8312567D-8D5B-4F21-8003-6E691F56AB59}
Bank==sub=0, {984EF925-6470-484A-B40F-2AB2E808D0BD}
Bank=regbank=0, {7833DC07-5AB4-49BB-9C91-979910658773}
Bank==xfcoded=0, {1A62E43C-CC75-49F1-A495-A6A51DA9D073}
Bank==t3w=0, {4A619292-86E7-4003-A90B-634B534B6C59}
XfLoc=sub=1, {32978E45-78DE-497A-912D-5B63307E4C77}
PosPt=Transformer.sub=1, {D082F984-3A9B-48FE-A786-EE1C632A3F4B}
PosPt=Transformer.sub=2, {5B07A9A7-D934-4341-9B5B-BE989093E6E3}
Wdg=sub=1, {C78AC148-F258-4FA9-9C2B-4D4D2B769C41}
Wdg=sub=2, {D53087C1-9BBE-4815-9F54-D95AE329BB46}
XfCore=sub=1, {CEDFD075-FDF1-431A-994C-789CCE9CFFDB}
XfMesh=sub=1, {0F04BA81-C968-45AD-83F7-4AD1A1118C5F}
XfMesh=sub=2, {B6D58760-E0BD-47DD-A2D7-AF0A375F6898}
XfMesh=sub=3, {14E6F32C-8E0F-4954-887D-4145EABE4948}
34=sub=1, {D3DA51DB-930B-4553-89EE-CD870AAEE4BE}
OpLimI=OpLimI_394.5_537.9=0, {D891A6C4-DCF0-4F89-924B-B6E9597F27DF}
34=sub=2, {B8A62B2A-2CBB-4226-868C-48342EACB65B}
XfLoc=reg1t=1, {B40F96B9-40A5-4C16-88B6-0BDB6A62558B}
PosPt=Transformer.reg1t=1, {BE52DE0A-CEE3-4C64-ABFF-68B529A2F414}
PosPt=Transformer.reg1t=2, {7C72CDA2-631E-45B7-A82A-5EDDEBF7EACF}
Wdg=reg1t=1, {90C68B43-FEBD-4906-A019-FF83A0128D21}
Wdg=reg1t=2, {55E8F867-9981-4973-9D90-535250F7D95A}
XfCore=reg1t=1, {9F6260EB-2638-4E1A-95B9-6CD1CE461137}
XfMesh=reg1t=1, {75CF53C3-EDCD-441A-B2B6-CF0918C64D78}
XfMesh=reg1t=2, {8F8927CC-1DF5-46DE-BF7D-60CDAA59DF97}
XfMesh=reg1t=3, {CE35A8A4-3B58-4CD3-87F3-32A4A0F0B0C6}
34=reg1t=1, {ED9F8A52-0F07-4B59-8516-C14ACC442BBA}
OpLimI=OpLimI_305.6_416.7=0, {387A8A3C-249E-4654-86E2-CCA688EC4A91}
34=reg1t=2, {08A686DE-B070-4A0B-AC20-D8659F01CB46}
XfLoc=reg2t=1, {5945655B-1ABE-4EE8-A5FF-36B74C906A12}
PosPt=Transformer.reg2t=1, {E77E63F2-5671-4F9C-A59B-3FD755D322E4}
PosPt=Transformer.reg2t=2, {5297701A-18DB-4FB2-8CEE-7B980D215F2E}
Wdg=reg2t=1, {3D339353-58B0-4248-9FB9-D2B6F8AB136A}
Wdg=reg2t=2, {E794AFB6-210F-48E5-B7CE-F18545A8C8D6}
XfCore=reg2t=1, {CD159C1E-A05E-4D08-9F38-DD6CAD6E1368}
XfMesh=reg2t=1, {92760A48-3AED-443A-B1EE-D730F4774BB6}
XfMesh=reg2t=2, {CFB1A688-1162-4DDB-95A2-B23C63DFF588}
XfMesh=reg2t=3, {CA50DEE9-CA61-4A5F-9088-232D2E274D74}
34=reg2t=1, {ED8FA835-0BBD-4544-AE3A-3418D96005C3}
34=reg2t=2, {63A7DEFE-CBA5-41E4-8E81-D597C449212B}
XfLoc=reg3t=1, {A69F572D-4036-4E7A-94E0-9C9E1C697AA7}
PosPt=Transformer.reg3t=1, {B6863095-22C4-42E4-8FAE-BCB11B0016F0}
PosPt=Transformer.reg3t=2, {1BAD3616-5E49-405F-9802-BE3F1B418EA1}
Wdg=reg3t=1, {12A4F217-DA5E-4ADF-8BA1-8B5C696B106A}
Wdg=reg3t=2, {9111F41A-954F-4895-892D-27F8D36E8CDF}
XfCore=reg3t=1, {2CCFD3FF-6C68-4F41-A8EA-F1506E0D205D}
XfMesh=reg3t=1, {898503FC-B9DB-49AB-A3F3-AEF6266528B7}
XfMesh=reg3t=2, {FF9BA64A-FFEC-40E4-B5D4-64D2A0D4B403}
XfMesh=reg3t=3, {49069437-CCC3-4A7F-8302-6470096BAF05}
34=reg3t=1, {4B8E17B8-F10B-4FA8-8A3B-7346D84D5CD4}
34=reg3t=2, {FF591139-7B0F-4FD0-9CEC-95AD3B385633}
XfLoc=xfcoded=1, {4680CF9C-71A2-4E88-8BB5-9109884DC816}
PosPt=Transformer.xfcoded=1, {7AF130D0-36D5-497C-8D9C-5047D899C3CE}
PosPt=Transformer.xfcoded=2, {CC51D8C1-F370-4C9F-AFEF-7195221B0019}
Wdg=xfcoded=1, {7DBDB70B-15D7-47B9-8F12-A1D4F420DE3F}
Wdg=xfcoded=2, {E40F73B8-3FE5-44EB-BF24-5CA70ACBAA47}
XfCore=xfcoded=1, {0AB95F85-6BF6-41E5-BDBA-4E8A4836E1E0}
XfMesh=xfcoded=1, {F1CA0E9E-DF3E-42C8-B987-7F9F54CC1F40}
XfMesh=xfcoded=2, {64A1C777-62E4-4E62-AF31-3C44281E4EEA}
XfMesh=xfcoded=3, {BDD87544-31C9-483C-907A-CB167838B4DF}
34=xfcoded=1, {D6D4A644-53E8-46F9-A5CA-ACB8C6EB4847}
OpLimI=OpLimI_25.5_34.7=0, {7CBEA1B2-8B20-402A-B353-38D82B9AA4C7}
34=xfcoded=2, {7FC4FD2C-7E9E-48A3-99DB-A12B379F3413}
XfLoc=t3w=1, {9EB2E74E-084E-45EB-A0FF-0596B8FEBDC9}
PosPt=Transformer.t3w=1, {80640BCD-AE07-4BC0-9481-99C8EE374610}
PosPt=Transformer.t3w=2, {2DC924F0-58D4-429F-8633-E92E81F20EBA}
PosPt=Transformer.t3w=3, {201859CE-5C85-4328-80E8-F3FF07C97710}
Wdg=t3w=1, {0CFAFEFF-7065-4D5B-9A17-5AB112B757A1}
Wdg=t3w=2, {6671435B-47BD-4B23-B805-1B15560ACC7F}
Wdg=t3w=3, {DCC81AC6-7292-4A1F-8AEE-7FAA0BB889C2}
XfCore=t3w=1, {48F90DB2-F87B-4F3E-BA09-14131F610AD4}
XfMesh=t3w=1, {78932D39-BFD8-4617-AAB2-551EA714F6C5}
XfMesh=t3w=2, {372244B4-7E6C-4A9E-BD15-9338231E4E64}
XfMesh=t3w=3, {3D91D2A5-4139-460D-8355-6BC0CB0CF25E}
34=t3w=1, {61E5C8F2-4D5B-413A-9150-88D085A1BC44}
OpLimI=OpLimI_152.8_208.3=0, {44060E0D-EA13-4AEA-8898-4BFCD8A25AE4}
34=t3w=2, {F60C7E72-FABC-453E-976C-75B94061F179}
34=t3w=3, {0A199732-750F-45DF-9BB1-95223A85CC8A}
TapCtrl=creg1=1, {97D1AFD0-B0F8-4997-A55A-B8770FFF65B3}
TapCtrl=creg2=1, {74636D33-38D0-43AD-B1B0-09C2FA07808F}
TapCtrl=creg3=1, {67CE6A30-CDDC-448C-BC5B-7D99479630BC}
LineLoc=lc_feed=1, {7161F3B7-5A2A-42D9-9B9F-8AAE05A779B8}
50=lc_feed=1, {90FADA17-E98F-400B-93C3-A0D2B34DA77B}
OpLimI=OpLimI_400.0_600.0=0, {1C039403-586F-4D69-BA7D-7F9193C0350D}
50=lc_feed=2, {27B2BCFA-FB24-4017-BB60-C521ADAAFEB7}
PosPt=Line.lc_feed=1, {2240569B-1691-43A2-B482-5A65C515CC92}
PosPt=Line.lc_feed=2, {B0515308-676F-46EA-A0A2-989F4564A992}
LoadResp=ConstkVA=1, {E4698836-981E-4622-9AD0-9F76587655D9}
LoadResp=ConstZ=1, {3D4F8152-BC02-459F-9115-BDC5643F9907}
LoadResp=ConstPQuadQ=1, {C4EA73ED-9063-4F57-903F-A80814E5FC08}
LoadResp=LinPQuadQ=1, {B777E56E-1B80-43FB-808E-B12C80AED30B}
LoadResp=ConstI=1, {DEE70D0F-174C-4D08-8088-FE08BB4A286E}
LoadResp=ConstQ=1, {069D3408-CAA8-45A0-BA7D-3FEB494E1A27}
LoadResp=ConstX=1, {98BB5B0A-A9DE-480C-B424-53949E914729}
LoadLoc=l161=1, {8A8D9F7D-83CE-4F4D-A235-752C3F5F30C1}
59=l161=1, {5F78ED02-62F8-46DF-8CB3-2C9E95DE225C}
PosPt=Load.l161=1, {5A30E79D-40C5-45D7-9A6A-91415EDD2251}
LoadLoc=l138=1, {F7AAC07B-A34F-491B-87F0-6E8C1132BDFF}
59=l138=1, {EAEB908A-B694-48E4-8D57-5195E60206A2}
PosPt=Load.l138=1, {7C340D15-83CA-4BE6-A4AC-378A3124DB80}
LoadLoc=l69=1, {472E3C67-6139-477C-A5EB-25713D8004A9}
59=l69=1, {665C79D4-325C-41A3-909C-94811A742BBF}
PosPt=Load.l69=1, {989C4848-1C25-46E0-BEDB-D5D42D418C05}
LoadLoc=loadmv=1, {E70EB8BC-563E-4C3B-89AD-CEB4FF42C75F}
59=loadmv=1, {5E625EAD-12BE-4246-BB6E-8E29DE84D2F4}
PosPt=Load.loadmv=1, {8D4BBF28-03D9-467C-A170-68167616160D}
LoadLoc=lreg=1, {23564F72-B46C-4E19-85E9-DE9FA410F119}
59=lreg=1, {2EB13DC2-A105-44E0-8895-4CC7A086B595}
PosPt=Load.lreg=1, {126CE31F-71BD-43E7-86F1-DEA6311535FF}
LoadLoc=load2=1, {4242C528-0BEC-491E-9174-7223E4364EBD}
59=load2=1, {209F542D-4EC9-4887-B5CC-35629E997644}
PosPt=Load.load2=1, {84212233-993D-4A8A-A3FC-08A8EA69ACEA}
LoadLoc=load3=1, {CFF343CA-BA59-4E60-8F5D-AB7FDE274A2F}
59=load3=1, {8D3A5D96-6EDC-4318-9657-CF51FBE34E17}
PosPt=Load.load3=1, {1447B3DD-2505-4687-B0B3-A42540626172}
NormAmps=OpLimI_1139.0_1553.2=1, {E3267BCD-7E61-43B8-9509-056E80455133}
EmergAmps=OpLimI_1139.0_1553.2=1, {09CD37B6-BF82-4647-8753-666F48F9F3F2}
NormAmps=OpLimI_690.3_941.3=1, {917A6E10-241E-42FA-AD69-AACFD5BA0293}
EmergAmps=OpLimI_690.3_941.3=1, {E994E873-E5F3-43B6-84EB-C45B599EB1EC}
NormAmps=OpLimI_394.5_537.9=1, {D4DB3D72-2E09-4010-898B-76F78DA84712}
EmergAmps=OpLimI_394.5_537.9=1, {5CEF6078-9193-4E17-B4C1-96ADC2D0403B}
NormAmps=OpLimI_305.6_416.7=1, {FC0A6DF3-58B8-4FBE-90DB-62CE08F0BD8F}
EmergAmps=OpLimI_305.6_416.7=1, {7721C344-76B3-446A-83E6-CF6FD95723BF}
NormAmps=OpLimI_25.5_34.7=1, {108B8808-1244-47D5-AF33-15B9627067F1}
EmergAmps=OpLimI_25.5_34.7=1, {F9083BE1-4BC6-4084-9AB8-89D78C7B4942}
NormAmps=OpLimI_152.8_208.3=1, {42B9F20F-1508-415F-AC2C-00AF33F6F643}
EmergAmps=OpLimI_152.8_208.3=1, {D166A247-1BD5-45DD-B287-9F464F192393}
NormAmps=OpLimI_400.0_600.0=1, {945DBE43-5581-44DF-89EE-1A41AA5EB90E}
EmergAmps=OpLimI_400.0_600.0=1, {6FD95C3B-CC52-4864-B928-00EB72744EFE}
