Circuit.cim_load, {2DA224E1-CE9B-49A1-ADA1-6BBDC094A544}
OpLimAHi=BaseV_0.2080=1, {33061BD7-DE5B-4613-8A7D-0BBA12C2A8D9}
OpLimALo=BaseV_0.2080=1, {A40DC10B-3069-4F36-878E-5DB160A5F923}
OpLimBHi=BaseV_0.2080=1, {BF72B1BA-7230-4C1F-AA71-7AE5FD5CAFBB}
OpLimBLo=BaseV_0.2080=1, {3D4286D4-DDBD-4E13-BCC2-52F146944D34}
BaseV=BaseV_0.4800=1, {6256C560-355E-4EC2-9B33-1BD35FB7526D}
OpLimV=OpLimV_0.4800=1, {AC8FB41F-83C5-4339-A455-13CCE83103B7}
OpLimAHi=BaseV_0.4800=1, {FE84D7BC-D976-45C6-973F-A04F17AD7C2A}
OpLimALo=BaseV_0.4800=1, {ACAB7D76-E8D4-447A-BEBB-CF4585092E17}
OpLimBHi=BaseV_0.4800=1, {0631DB53-A25C-4F06-B515-64BF0E6B9AC3}
OpLimBLo=BaseV_0.4800=1, {A49CDFA1-730E-4DE7-A1D8-4CDF11A260CD}
BaseV=BaseV_12.4700=1, {46FC3F57-BEDB-411B-965D-ECA95145C79F}
OpLimV=OpLimV_12.4700=1, {E343A399-B20E-47A1-912A-73A7723E1507}
OpLimAHi=BaseV_12.4700=1, {A42CCAF4-2308-486B-82B9-E8B7D1378891}
OpLimALo=BaseV_12.4700=1, {26A79119-9AA6-4280-A417-CF1128940C34}
OpLimBHi=BaseV_12.4700=1, {D7BA2B34-CA43-40B8-8275-B728DAF95A03}
OpLimBLo=BaseV_12.4700=1, {D0E569D8-4F04-4BB0-8C26-6FEB16E8D892}
BaseV=BaseV_24.9000=1, {50A49C88-1B33-4240-8396-E1EC4F51E875}
OpLimV=OpLimV_24.9000=1, {4DDB1182-8C09-44CD-93BE-B9CE58F80ECA}
OpLimAHi=BaseV_24.9000=1, {92998DFA-9763-424B-92DA-DB5C5BF4FA5F}
OpLimALo=BaseV_24.9000=1, {ADC6ED2D-DCA6-4505-92FA-B76F677A9187}
OpLimBHi=BaseV_24.9000=1, {0E933DF9-5FA5-448F-9DEF-6103896304A4}
OpLimBLo=BaseV_24.9000=1, {52A8DEB1-F469-47CA-8767-10141EEE279B}
BaseV=BaseV_34.5000=1, {581D697C-8792-4D46-8F38-186B059E30E3}
OpLimV=OpLimV_34.5000=1, {B7B82831-85D1-44DE-B847-0E623CEB50BB}
OpLimAHi=BaseV_34.5000=1, {806E19A1-96E9-48FB-916D-258E456BDAD7}
OpLimALo=BaseV_34.5000=1, {BDC73F93-19D1-4887-997C-63152A3C36E7}
OpLimBHi=BaseV_34.5000=1, {7EEDA23B-10CF-456B-8793-CB12082C23EE}
OpLimBLo=BaseV_34.5000=1, {AD739A73-9A24-4611-A4DC-4D64DDB6EFA4}
BaseV=BaseV_115.0000=1, {AEEA6704-71BD-4D1B-8CFD-2C2AEFC150E1}
OpLimV=OpLimV_115.0000=1, {E0EFC878-2FED-42A1-9E70-670CA588447B}
OpLimAHi=BaseV_115.0000=1, {D30A59A9-3CB0-4E87-A724-32B9801F0EFD}
OpLimALo=BaseV_115.0000=1, {2EA96395-E2FA-4A9A-A345-4087CE286902}
OpLimBHi=BaseV_115.0000=1, {D0657298-A103-4E78-8949-8B1D2640C463}
OpLimBLo=BaseV_115.0000=1, {D819540A-B612-4BC7-A22B-0E55A3899CCC}
BaseV=BaseV_230.0000=1, {DE5C0678-DA58-4AE5-BE83-4BEC8159D992}
OpLimV=OpLimV_230.0000=1, {691E6C13-E0BF-492B-BA8B-D34CD7BB2730}
OpLimAHi=BaseV_230.0000=1, {97977AD2-9474-471D-843B-A105E05FF991}
OpLimALo=BaseV_230.0000=1, {FC471B27-CDB7-4D65-AF35-C2B7BCB64A38}
OpLimBHi=BaseV_230.0000=1, {D15E93E8-5C25-4002-9511-0665F90DBA1C}
OpLimBLo=BaseV_230.0000=1, {44E8D9A4-EE39-41F9-8C91-7EA3643D48D8}
Topo=sourcebus=1, {8B53FBD8-D45C-47FA-9C06-F1EA8335414C}
OpLimV=OpLimV_0.0000=1, {6B22A425-8A27-48CF-A485-FF8588D6C12C}
BaseV=BaseV_0.0000=1, {A2A5C0DD-48A1-4479-8759-6B8A83975630}
SrcLoc=source=1, {47ED341E-BF07-490F-950B-EB81E12EE01C}
25=source=1, {CCFB276C-D865-43FE-994B-B853FD2130B0}
PosPt=Vsource.source=1, {9EFADF85-4E11-4EBF-8137-EA763080C043}
LoadResp=ConstkVA=1, {CFD4CD87-CBD9-4B49-B34E-7C2D867765B1}
LoadResp=ConstZ=1, {B7F23BD3-0F53-422D-8FEB-CFE5F63279F5}
LoadResp=ConstPQuadQ=1, {71873308-4CE2-4A71-90D3-106F0DCFF1DE}
LoadResp=LinPQuadQ=1, {8FF02FC8-5EDE-4435-9016-35E179EF2963}
LoadResp=ConstI=1, {EFB6E882-D428-4A68-9F4C-6EF18D81DA53}
LoadResp=ConstQ=1, {AA72C3DA-1771-4070-B90E-22F8DF6049AA}
LoadResp=ConstX=1, {194CCBA9-9EA8-43E7-8C12-63AF9CE5CF0C}
FdrLoc=cim_load=1, {7B87D6B8-F0A5-4514-86B0-EA7529B1089E}
LoadLoc=wyeload=1, {AC28D9FD-6881-488D-9E37-1A355F66252B}
59=wyeload=1, {D0556BFA-D59D-405A-BAB8-C3007F1EAA0E}
PosPt=Load.wyeload=1, {B8FCD8DE-C064-4CCA-8F19-660B1AE7EF9F}
ECP=Load:dayshape:::dayshape::defaultload=0, {42A1A740-137B-4C2B-8441-777A28F2703D}
LoadLoc=deltaload=1, {4DF00B8B-CD13-4B84-A9C3-58DE76D17CCA}
59=deltaload=1, {8ABA9A03-271F-450D-A0AC-C61C4E67A03B}
PosPt=Load.deltaload=1, {6595727C-85E4-4145-9E9F-D231122E1D62}
LoadLoc=motorload=1, {68FA80FC-AD61-48DB-88FC-D1982E4618A4}
59=motorload=1, {D89F0D88-B4A1-4C11-BAA4-B98EAA87D8E7}
PosPt=Load.motorload=1, {42B098DB-905F-4F43-81B6-C66D39FA7920}
LoadLoc=cvrload=1, {9B652F2D-60B7-4FE8-8C73-38A9719222FD}
59=cvrload=1, {29586E31-90E3-4C07-A5ED-52CC8B20B3F6}
PosPt=Load.cvrload=1, {83A7CE0D-0D8F-4D8C-A90E-6E4C53E2FFEC}
LoadLoc=ld1ph=1, {04D72604-C3EF-4F64-BE64-9C9693ABFF1B}
LoadPhase=ld1ph_s=1, {FE198D9E-6922-4266-9268-35F5D34153B2}
LoadPhase=ld1ph_1=1, {4C15883C-5479-4B03-A0CC-5D9BDBE30288}
59=ld1ph=1, {78B75F47-0B55-433E-82A9-4B53DECFB15F}
PosPt=Load.ld1ph=1, {5BE8BC10-EABA-4C00-BA78-2595B1C6971D}
LoadLoc=ld2sec=1, {AA886CE5-DC13-4977-B55A-0A54DE26F6CB}
LoadPhase=ld2sec_s1=1, {7C57DD13-01DE-49C1-9C55-CBE7996A4DA6}
LoadPhase=ld2sec_s2=1, {233B0B20-98EF-421B-B5FD-E2D1764C1BC9}
59=ld2sec=1, {6F81632B-2EBC-4FEB-A3C2-B2A3AB708BBD}
PosPt=Load.ld2sec=1, {D67D1D32-8CB7-4820-8635-32B94E68AC4A}
LoadLoc=ld1sec=1, {4B949C58-B4C3-4954-AAC9-4D4FEAF42122}
LoadPhase=ld1sec_s2=1, {78FEF49E-29B5-48E6-A174-04B8EBBABBCD}
59=ld1sec=1, {2F7F3F52-72F8-41EF-A94A-5FA8C3FA39E0}
PosPt=Load.ld1sec=1, {1E2E7AC7-3029-4CC1-9B55-821CE84F2FF6}
