Circuit.cim_der, {446686CE-2A6C-4775-8A5A-DA4760477919}
OpLimBHi=BaseV_34.5000=1, {3DE5AD61-0876-41A4-9FF8-5501CBFB2BB0}
OpLimBLo=BaseV_34.5000=1, {58C037EC-8489-4133-9C11-58C26765313B}
BaseV=BaseV_115.0000=1, {1323F177-1126-4653-92F4-9BBE6277FE8E}
OpLimV=OpLimV_115.0000=1, {2BC96AE5-9D14-4F87-B0F6-B9066871E566}
OpLimAHi=BaseV_115.0000=1, {932DC39C-18BA-4928-80E7-A74F195ACC8D}
OpLimALo=BaseV_115.0000=1, {4C79869F-5251-4C1A-8B39-3DFE71680AEF}
OpLimBHi=BaseV_115.0000=1, {E9522296-5984-49BF-85D6-C773FC7D1D9F}
OpLimBLo=BaseV_115.0000=1, {B7A3ABB4-846F-4DD5-A744-98B62EC4629B}
BaseV=BaseV_230.0000=1, {4F4FE89E-BA7C-4424-894C-54C1B28F52E1}
OpLimV=OpLimV_230.0000=1, {1C8D43A0-BE68-4B34-92D3-BB113E589B2A}
OpLimAHi=BaseV_230.0000=1, {C3149E68-1F67-487E-B805-2B529C8209E0}
OpLimALo=BaseV_230.0000=1, {650C374F-7309-49B0-A1A7-6271DCD1FFFA}
OpLimBHi=BaseV_230.0000=1, {235B78E3-A7B4-426C-AD00-21D4B8E959E3}
OpLimBLo=BaseV_230.0000=1, {9DB8486D-8B40-4FCF-AA9D-B46895471E1C}
Topo=sourcebus=1, {F8647F29-B940-4A76-9264-1E007B066D61}
OpLimV=OpLimV_0.0000=1, {8E215348-ED66-4325-994A-133FD0AF2B30}
BaseV=BaseV_0.0000=1, {8F5FB05A-FA67-4149-BC7B-19345A1E198E}
SrcLoc=source=1, {A1402C2D-EA70-42EC-8CA6-5FBE403D65A2}
25=source=1, {F42E4DAC-4FA7-4C20-9798-1E112EBE16D3}
PosPt=Vsource.source=1, {D43C522F-DC83-4293-9833-39915B38A8CB}
LoadResp=ConstkVA=1, {559CF39D-C187-4C5B-B8E6-136AE6F6F0FA}
LoadResp=ConstZ=1, {B94A89A1-DA08-4173-ABA4-0A1FE99B68ED}
LoadResp=ConstPQuadQ=1, {871F0CF5-4FE1-406D-9073-829DB9F828A5}
LoadResp=LinPQuadQ=1, {C1161445-AEFE-44D0-81BE-DE6956FC90CD}
LoadResp=ConstI=1, {81831091-DAB8-401E-9CDA-17B821511CBE}
LoadResp=ConstQ=1, {1457C45D-9C30-4536-A027-684B27D1EDCF}
LoadResp=ConstX=1, {402DB0B1-8A5A-4EBF-89D1-F9B4D4057133}
FdrLoc=cim_load=1, {5ACA8453-C9E8-4548-A6CC-FD71CFF6A8AA}
LoadLoc=wyeload=1, {035C7613-7D77-42A1-94C1-5BF64814268F}
59=wyeload=1, {58B2F9F4-3237-4203-8417-D0BC9956FF02}
PosPt=Load.wyeload=1, {49B72C54-4FC5-4DC3-91F5-CDF1D4445E7F}
ECP=Load:dayshape:::dayshape::defaultload=0, {9F8999B4-280F-4FD9-8435-D86A4FFF0015}
LoadLoc=deltaload=1, {B64C3892-1E21-486E-A310-BC59C2C9FDDF}
59=deltaload=1, {1809E3AA-1C12-4F6D-992D-E4EBB7392A14}
PosPt=Load.deltaload=1, {D7577314-6E4E-4F7D-9FEF-C715315301C3}
LoadLoc=motorload=1, {AF2A340F-A449-493B-A263-01E1919746A4}
59=motorload=1, {A8AEF463-CAE0-4D57-8163-3D6CFD92CB13}
PosPt=Load.motorload=1, {55915CCA-D1F8-4ED6-9C81-D0AACF044844}
LoadLoc=cvrload=1, {D67C07FC-DCB0-43AC-93A7-FC00FD97AAD1}
59=cvrload=1, {26FC6C68-526F-4816-909A-94F71D711D91}
PosPt=Load.cvrload=1, {0E14DFF8-6840-4BBA-94A2-854965E923FA}
LoadLoc=ld1ph=1, {E8BD1280-A018-4BC1-B3D0-5C3F85CA7EB5}
LoadPhase=ld1ph_s=1, {8E6F1023-C2A9-4126-89CE-5526CD261FD5}
LoadPhase=ld1ph_1=1, {0175BC82-84D3-48D5-86AF-B85767F01162}
59=ld1ph=1, {2B2E02B3-A337-47ED-9261-01C3EFDADAF2}
PosPt=Load.ld1ph=1, {BB09C98E-4DC4-4E73-ADE6-97DC1680F24B}
LoadLoc=ld2sec=1, {EF3FD57D-C510-44ED-9B8F-5457F8719E2E}
LoadPhase=ld2sec_s1=1, {B03B3B69-EECA-43DE-AC15-1C76DEFF9BC2}
LoadPhase=ld2sec_s2=1, {9E78A58C-43C4-4776-91DE-B831AD1F1A1F}
59=ld2sec=1, {85B46EC5-C068-4B2A-922E-313A0D518B2E}
PosPt=Load.ld2sec=1, {D77B45CB-38FC-404B-9555-5E82E126F7D2}
LoadLoc=ld1sec=1, {339A029B-07EF-436E-8344-AD2824FCB120}
LoadPhase=ld1sec_s2=1, {3F9C3FDE-6C31-42AA-8787-262472F4B9A9}
59=ld1sec=1, {5172FA94-A9A5-4755-AC55-867B6508DDFF}
PosPt=Load.ld1sec=1, {D8A2947A-8C15-44D5-BDFD-E8032919B1EF}
FdrLoc=cim_lines=1, {6B61243C-84E0-4477-B86A-83885A223BC8}
BaseV=BaseV_4.1600=1, {4EE019E8-CF96-42AF-81C8-3DD760D9285C}
OpLimV=OpLimV_4.1600=1, {31CF6FFB-D70D-450C-918D-9F838A4D0585}
OpLimAHi=BaseV_4.1600=1, {A7D6F8A3-9A90-412E-8186-FE04EBFF949D}
OpLimALo=BaseV_4.1600=1, {554455C8-A57B-459E-AF64-01409BCE3169}
OpLimBHi=BaseV_4.1600=1, {286F9EC1-F38D-4074-8621-0825335DA587}
OpLimBLo=BaseV_4.1600=1, {A231CC0F-8875-4936-BA46-3B0028EDBFDC}
Topo=b1=1, {7C067A2E-B5DF-408A-AFDC-6BF3D640A09F}
Topo=b2=1, {11B8DFDF-6CAC-4595-A44E-576562F34C11}
Topo=b3=1, {CBD6C8F9-3A13-4EE0-9416-311C7B59D083}
Topo=b4=1, {11C7A5C0-AC26-42CD-A5AF-AB236830FB39}
Topo=b5=1, {6815D630-413A-42DB-9DA6-07DE541583A4}
Topo=b6=1, {6400EA6B-D8B7-440C-88A3-D7FF4419CCB4}
Topo=b7=1, {8CB2D912-9C2E-4D48-9695-C91C2B2FEA6B}
Topo=b8=1, {5B3CEA73-C375-4CA7-8EDF-747CF8706713}
Topo=b9=1, {DA26E6B7-0600-45DE-BB08-DBC5470247FF}
Topo=b10=1, {0196415D-61AA-4E91-9BF9-78DE1422A176}
LineLoc=l_coded_sym=1, {5E91D50E-00AF-4CCA-99E4-B7B5F057AE48}
50=l_coded_sym=1, {040208B9-4E08-4065-A7C6-B2B02801D596}
OpLimI=OpLimI_400.0_600.0=0, {57275E70-4B2C-4A4C-A4A3-83AA205F0F23}
50=l_coded_sym=2, {4B338088-06A2-4670-B395-6718A5F388C3}
PosPt=Line.l_coded_sym=1, {42B9E21F-539A-492D-8F41-9A72B5392827}
PosPt=Line.l_coded_sym=2, {6FFC0B11-C1B8-4F58-AFAD-64096BEABB38}
LineLoc=l_coded_mtx=1, {9E162A4A-5E06-4674-AFB7-0456D6053664}
LinePhase=l_coded_mtx_A=1, {0EE32E8D-C5C2-4DE4-9DF4-49DB001160A0}
LinePhase=l_coded_mtx_B=1, {0174D3B4-7827-4FE3-A974-F9B1712070C3}
LinePhase=l_coded_mtx_C=1, {C8E88FF0-38B6-4D23-8E21-DEEEDE5A9F50}
50=l_coded_mtx=1, {D53DAC05-E3CE-4061-8A36-F7EA454E5844}
50=l_coded_mtx=2, {E4B123CC-B7FF-47C4-B0CB-523493D36E6C}
PosPt=Line.l_coded_mtx=1, {E6B33437-7546-481C-8ED0-D8031FF269A8}
PosPt=Line.l_coded_mtx=2, {085709F7-AB3E-4C1F-9F3F-A1F953509C69}
LineLoc=l_coded_1ph=1, {F5261D44-B22E-4647-AEC3-97AA33AA0AAE}
LinePhase=l_coded_1ph_A=1, {5E2E99B1-1FF4-4939-B91C-C170808310CC}
50=l_coded_1ph=1, {89BF4CCA-BC45-4857-86F3-2A1AAF8E36EE}
50=l_coded_1ph=2, {EA46966A-D1A2-42B3-88C1-CF7680303561}
PosPt=Line.l_coded_1ph=1, {2B8FED3E-F5BC-4793-8548-5D340B0F8AAB}
PosPt=Line.l_coded_1ph=2, {5EB49206-2046-4597-ADC0-8DF2B5EE01FD}
LineLoc=l_syminline=1, {A526BA3E-D10F-4D14-9B64-BC3E9623FFDD}
50=l_syminline=1, {A8FF4000-0595-46A5-A8EF-6D70FC2D50FA}
50=l_syminline=2, {42C63E22-55A1-464D-980A-0F2C389306FF}
PosPt=Line.l_syminline=1, {6583DAEE-6961-4F90-BCF1-CF36A5B3D5CA}
PosPt=Line.l_syminline=2, {1E129205-8D92-4FFF-A8A4-6C596DE4D092}
LineLoc=l_puz=1, {1061B3DB-27A9-42E7-9D4E-D43CAC709BAA}
PUZ=l_puz=1, {97CEA716-BD16-49F1-B6A1-38B97BC462D9}
LinePhase=l_puz_A=1, {5C5FA7B1-4328-412F-9F19-7D985580C2D7}
LinePhase=l_puz_B=1, {8EB5C0F6-4D7E-43F5-8A61-0C7678EFDC60}
ZData=l_puz_PUZ=1, {2550BA9D-C01C-4F7F-95E2-884D180ABC10}
ZData=l_puz_PUZ=2, {E96B18CD-1BE7-4C1C-BC53-4131DBA810B0}
ZData=l_puz_PUZ=3, {765EC3AC-2E89-4F44-BAF5-0CA2E6D695E8}
50=l_puz=1, {7A686768-181D-4720-AB5F-13D9A5143545}
50=l_puz=2, {7AD25578-928A-4B2E-A2A7-503ABF7A4748}
PosPt=Line.l_puz=1, {A121DF97-3801-4B02-BC98-52E659919B3B}
PosPt=Line.l_puz=2, {47D3D310-CF2F-4B51-81CD-6CF28B6C0812}
LineLoc=l_geom=1, {A04C1257-40FD-4267-8206-762B572BE1A8}
LinePhase=l_geom_A=1, {C23EA5DC-832C-4F45-912A-AD9F2314FCE1}
LinePhase=l_geom_B=1, {3F3ACB5D-611B-4BB4-BE35-1C692CF8AFD2}
LinePhase=l_geom_C=1, {B5410853-9E69-4E24-BC79-1A5E4809956E}
LinePhase=l_geom_N=1, {FFB946AA-AF15-41EE-B6FE-A9A861DC8695}
50=l_geom=1, {9EDC3023-388D-4F03-B024-3120C91C36C2}
50=l_geom=2, {02FCF1E9-679A-49EF-B5E9-8D0B1BB3DE97}
PosPt=Line.l_geom=1, {703A7466-E182-45EB-9B02-A5E4095D6C58}
PosPt=Line.l_geom=2, {F2CAA5BD-B65E-4E3E-8995-9F9219D30B01}
LineLoc=l_spac=1, {2066BC93-E220-42E2-BBF2-AC210A602D1C}
LinePhase=l_spac_A=1, {C43FDA5B-BEE4-4453-B788-863D601C81A0}
LinePhase=l_spac_B=1, {940801C7-C9A8-4AC8-B6DE-B0A881D27EB0}
LinePhase=l_spac_C=1, {C50A421E-5A6E-4C88-8172-C3A11FDB0EB9}
LinePhase=l_spac_N=1, {69A749B4-7785-4354-BBEE-04CD57AEE522}
50=l_spac=1, {CE656857-BFB2-4144-ABCD-10F0EAED309F}
50=l_spac=2, {F3312A4F-53F9-4031-B1C2-6FA2C147B01F}
PosPt=Line.l_spac=1, {AAB06F87-E5C0-4C51-82EB-2C6E84950776}
PosPt=Line.l_spac=2, {A72E36E3-6592-4BB7-A68E-43AE8E014469}
LineLoc=l_cn=1, {9333E458-4390-4E01-B27B-B456AEB8D64D}
LinePhase=l_cn_A=1, {651B37D6-850A-4165-A8C1-4AE001AEB44C}
LinePhase=l_cn_B=1, {7FCAEDA3-C308-461B-B59B-26DAA836C273}
LinePhase=l_cn_C=1, {15DB21EA-2E44-432F-88D6-0EF12FD8C8C8}
50=l_cn=1, {C92BDC50-8B8D-4819-9AE0-0687812FB8C1}
OpLimI=OpLimI_260.0_390.0=0, {4C9B2672-9E72-42B3-B347-D044B4C3E30D}
50=l_cn=2, {C0BBC96B-A9A9-4FAF-83BF-49760D33B491}
PosPt=Line.l_cn=1, {EE07786F-130B-4DD5-9B6D-E676ADDC48CA}
PosPt=Line.l_cn=2, {99080C91-9C18-4151-BA1B-26145724D34A}
LineLoc=l_ts=1, {3E6F29A5-F7F7-4D75-926F-EB0F7ED4A910}
LinePhase=l_ts_A=1, {2CEC39A2-7680-418C-BEFB-97B453D1C275}
LinePhase=l_ts_N=1, {349E60BC-5208-4724-88C6-6506057D7666}
50=l_ts=1, {2DB8E126-33AC-4047-9004-69DB1F77DC8C}
OpLimI=OpLimI_165.0_247.5=0, {651CB716-4E6C-497C-B00D-BA0CEA8E00AF}
50=l_ts=2, {748EFDDC-0D12-48ED-82B9-ADEB568818A4}
PosPt=Line.l_ts=1, {D7F366B9-947D-471D-B58B-9ED9AB823F85}
PosPt=Line.l_ts=2, {B095E126-8231-4C68-B009-F0EAD648125A}
LineLoc=l_sw=1, {A3F3A16C-D9A7-4762-A711-1265CEC4D2F3}
50=l_sw=1, {D6C534F3-B69A-4D31-BE49-C238E546AAFD}
50=l_sw=2, {A4426F59-D356-4368-809A-E7A817229645}
PosPt=Line.l_sw=1, {57133DAF-D270-4FBA-B1EA-489FF8D1721D}
PosPt=Line.l_sw=2, {F43E2E9A-688E-450E-9987-EE15364F4B74}
LoadLoc=load_b3=1, {E788F934-669D-43C2-9863-16A7F5320F8D}
LoadPhase=load_b3_A=1, {8F9A1152-55EC-4703-957F-486FF879C8FC}
59=load_b3=1, {8B45CC61-2041-43E2-98CA-33665E38AE87}
PosPt=Load.load_b3=1, {6BF92039-16A0-4FBE-865B-BD7FB9932F1D}
LoadLoc=load_b5=1, {2C808E8A-72F1-4CC8-9BC7-E0837E25267B}
LoadPhase=load_b5_A=1, {25001BE3-B2B3-4253-9E24-12FE89036B12}
59=load_b5=1, {E0667D0B-9828-49C4-86BB-3FEC7A0FE24C}
PosPt=Load.load_b5=1, {2B6AD3D1-7ED0-4EE7-B818-D72B122116BE}
LoadLoc=load_b9=1, {BE9EBF3F-6165-46C7-8F36-8D8E7A2FD08C}
LoadPhase=load_b9_A=1, {D3DC53CB-527E-458A-9794-15723869F7F1}
59=load_b9=1, {B124A28D-B3B6-4686-B36D-85ABCC9B8D37}
PosPt=Load.load_b9=1, {39CC91DD-1BE5-4F44-AFC1-E19DF4383C5F}
LoadLoc=load_b10=1, {278BEF18-BA14-4841-9B48-DBDA35D53A1B}
59=load_b10=1, {3C8E7EE6-B322-4462-A1D6-0A002F2CFE18}
PosPt=Load.load_b10=1, {3CF1851C-5195-423D-9B8D-608F41B63AA2}
ZData=mtx606=1, {37BFB450-2412-46B4-B6F2-94EBC6DC4E7E}
ZData=mtx606=2, {F3B51ED3-B01D-4DA9-91BC-425C96B22469}
ZData=mtx606=3, {9A217EF1-9B1B-49C4-9D2A-1B39911CC439}
ZData=mtx606=4, {F9EB7B32-6028-4766-9D6B-EA497B4D5896}
ZData=mtx606=5, {F15D0830-E032-4BE1-8190-6BFD79906EF6}
ZData=mtx606=6, {2175CE9B-F539-4EF6-9E58-9DA5E2C75A2D}
ZData=mtx607=1, {B13DF1C1-722B-4DF2-9EAB-5112B6B85F7E}
WirePos=WP_geo3ph_1=1, {88737B99-DD78-4B16-8AA3-5DC424D7778E}
WirePos=WP_geo3ph_2=1, {29D1C122-0D1F-44E7-A0C8-0BE728BB3609}
WirePos=WP_geo3ph_3=1, {B865BA5F-D139-4548-B9C1-D06508B2434E}
WirePos=WP_geo3ph_4=1, {C51A2C70-8475-4489-A055-66D5D09751DE}
WirePos=WP_sp500_1=2, {E0F6EBE5-8D12-47E2-9958-3AC74EB87B99}
WirePos=WP_sp500_2=2, {FE4B2CC8-843B-4012-B776-37DF3895650C}
WirePos=WP_sp500_3=2, {1B52A3BC-AAAC-43F3-B53A-125E62404E4D}
WirePos=WP_sp500_4=2, {7D6E6F81-1E68-44D4-99B6-3C436BB9F7DD}
WirePos=WP_sp515_1=2, {CB83458C-A48F-44FC-94FC-DB46E9E90AF1}
WirePos=WP_sp515_2=2, {E6970F12-0FF3-49EF-A079-8FC3B20DD112}
WirePos=WP_sp515_3=2, {D0702AA3-8855-4558-A933-094351446374}
WirePos=WP_sp520_1=2, {BC35F9B0-609A-48FF-BA39-BB7E837D24AA}
WirePos=WP_sp520_2=2, {F5EAA8A1-5C9B-4358-AB45-7C67A4C15CC5}
NormAmps=OpLimI_400.0_600.0=1, {81B3D2CD-C6A7-41A0-BFB9-49CBD335D6DC}
EmergAmps=OpLimI_400.0_600.0=1, {F2602632-7DAA-4B88-BD74-5461353B0AD3}
NormAmps=OpLimI_260.0_390.0=1, {14F9778C-835F-48E4-AD68-90AFE1A28EB1}
EmergAmps=OpLimI_260.0_390.0=1, {841FF2EA-5699-4524-922F-423F12AD7E7B}
NormAmps=OpLimI_165.0_247.5=1, {F566A27B-658D-49B1-AEC3-C620B9A5AF1D}
EmergAmps=OpLimI_165.0_247.5=1, {0DACB98C-F50C-4182-BC5C-BB42DFEF48D4}
FdrLoc=cim_shunt=1, {70633B1B-3C17-41D7-B508-DF289E59ECB6}
BaseV=BaseV_2.4000=1, {5135FB3B-0DB4-4D46-A1B6-858930BB6038}
OpLimV=OpLimV_2.4000=1, {3526F2A2-B48A-4395-B6BB-420E0775A17B}
OpLimAHi=BaseV_2.4000=1, {F339E023-9AA3-4A18-AE4C-3673FB496949}
OpLimALo=BaseV_2.4000=1, {755EA6B4-231C-4903-B243-CC434F51BF93}
OpLimBHi=BaseV_2.4000=1, {E5D2350D-C979-4D7A-A00C-7218D914415B}
OpLimBLo=BaseV_2.4000=1, {A66A6785-BEC5-48D9-9CD9-A7C10D8FC02F}
CapLoc=cap_wye=1, {E4DF1BA8-DC90-4BD1-8016-7B3AC38EC1C9}
106=cap_wye=1, {FC51B2CE-9821-4710-AA91-DEFE794F6117}
OpLimI=OpLimI_112.4_149.9=0, {6C433AD4-F763-4457-A73F-9BA79DB83F0E}
PosPt=Capacitor.cap_wye=1, {DFEE77DD-3D8C-4FD0-8E31-531CFCDF029F}
CapLoc=cap_delta=1, {A0D2F652-0074-4738-89C9-A7D8B31696D8}
106=cap_delta=1, {6DEF9B18-3177-4FB2-A18A-D8CF73E399F1}
OpLimI=OpLimI_32.5_43.3=0, {0E2DAC05-3C0F-4F82-A7B0-90D8A01E92C8}
PosPt=Capacitor.cap_delta=1, {B8E1411C-2180-49B0-9DB4-C87F9E100C0F}
CapLoc=cap_1ph=1, {9ADB4534-1374-46E7-AC25-3D5BCF431BBC}
CapPhase=cap_1ph_A=1, {D6B883CD-85BC-4196-AFC5-EEDEA9E62055}
106=cap_1ph=1, {74C4158D-A9B2-4111-A92F-15F670D9C917}
OpLimI=OpLimI_56.3_75.0=0, {65B65619-0CFB-4B6F-9736-BE5F87C7CD1B}
PosPt=Capacitor.cap_1ph=1, {F864D487-EEA3-46E7-878F-F434BB96E7C2}
50=l_main=1, {40CA1F94-9B3E-4CC0-9C0C-BB9D7853AA89}
50=l_br=1, {B31D97FB-F287-4D93-836E-2C48637CEB6B}
ReacLoc=rx=1, {ADFAD082-0722-4D0F-B572-0D318AF6DD91}
138=rx=1, {24FEED27-60B0-447A-BC6E-8D8E8B250E4E}
OpLimI=OpLimI_4.6_6.3=0, {946C8F5E-BC60-419E-AFA6-6BC7DB08A82F}
138=rx=2, {218EAB09-D21A-43C6-9FFD-45A5E8135E9E}
PosPt=Reactor.rx=1, {1658751C-7773-4C21-8BB0-D4F803DF1429}
PosPt=Reactor.rx=2, {C17ECDB9-95BB-41D0-B3E9-E7913868C049}
LineLoc=l_main=1, {3563FEF2-41B2-4335-A2EE-8B3C4782CA10}
50=l_main=2, {228885CA-9A4C-4F92-B003-C789671E7280}
PosPt=Line.l_main=1, {5D5E2878-8D05-44C3-A183-76A8E48ECAD6}
PosPt=Line.l_main=2, {8E9FFE00-664D-4FC4-B889-77EAEDFD5226}
LineLoc=l_br=1, {06166B6A-07F6-417B-B4E5-5173192E85F8}
50=l_br=2, {50C11F67-B651-4FE7-83A7-BCF10BA11D8B}
PosPt=Line.l_br=1, {EE05830B-60BE-4A2D-A498-D0C1B741C6F4}
PosPt=Line.l_br=2, {2F12FFD0-DCAF-4A76-A1EB-CF0C303C98FB}
LoadLoc=load_b2=1, {A00A2E0B-9B47-499D-916E-78CE4D5C5C3D}
59=load_b2=1, {FA0B4624-9F11-4FAF-8AA8-D83A5FA4F74D}
PosPt=Load.load_b2=1, {15192593-6253-483E-87A9-4A77A9C0B555}
NormAmps=OpLimI_112.4_149.9=1, {7612423D-0816-4523-850E-10DA643D5765}
EmergAmps=OpLimI_112.4_149.9=1, {F860F564-FBD9-4706-9D08-5F11C12F2DC8}
NormAmps=OpLimI_32.5_43.3=1, {C79283C2-48A5-4EC2-A939-750D39685D25}
EmergAmps=OpLimI_32.5_43.3=1, {8CF75B71-E9C2-415E-86B8-970FFEF1DA0C}
NormAmps=OpLimI_56.3_75.0=1, {12C7CEEB-5567-41AF-97C1-756DC3DDB1A5}
EmergAmps=OpLimI_56.3_75.0=1, {B5A92936-F7B0-4030-A326-695C012B7A82}
NormAmps=OpLimI_4.6_6.3=1, {71CFB5BD-DD26-46F3-A143-864F45CA4C7A}
EmergAmps=OpLimI_4.6_6.3=1, {EF0B65D2-F969-4DE8-B771-98D5DE5EC608}
FdrLoc=cim_xfmr=1, {C15D99A0-D4A6-4DA0-9C4D-8D388EA0EE17}
BaseV=BaseV_345.0000=1, {E7D4FCAD-397F-4649-9100-D7B69FDCD363}
OpLimV=OpLimV_345.0000=1, {AEE73060-91CB-4270-BD69-2097E50A4BEA}
OpLimAHi=BaseV_345.0000=1, {05F4FB8B-7B4C-464D-B1D3-28E91B9BE4CD}
OpLimALo=BaseV_345.0000=1, {22C6495F-CACF-4324-A683-BBA46270D4A6}
OpLimBHi=BaseV_345.0000=1, {2F996ED6-DE1F-4EF1-8E52-E2FD689E61DF}
OpLimBLo=BaseV_345.0000=1, {E543EC56-D58D-482C-8AA0-611AE6920430}
BaseV=BaseV_161.0000=1, {69C489DE-ED4F-489B-8B3A-AD3E1BDDB671}
OpLimV=OpLimV_161.0000=1, {B35DD1F6-C2F0-45AA-8F92-958496137836}
OpLimAHi=BaseV_161.0000=1, {F676C06F-934D-461E-8E31-C32930EF49D4}
OpLimALo=BaseV_161.0000=1, {F95A9CBF-8950-4BC8-91C8-EAC99D7448E9}
OpLimBHi=BaseV_161.0000=1, {36A731A9-4032-49C4-B1D6-6143CC28B7F7}
OpLimBLo=BaseV_161.0000=1, {62F2EFAB-D549-4110-A85E-2935E5062204}
BaseV=BaseV_69.0000=1, {09EAC161-72A5-4053-A4C4-94AD33E6C227}
