Circuit.cim_shunt, {C882CB9E-AD19-4EEC-8FAB-D9B79A240038}
OpLimI=OpLimI_56.3_75.0=0, {4F0932B8-44F1-43AB-854C-219EAA0F6799}
PosPt=Capacitor.cap_1ph=1, {2BA621B6-E8DD-4AE0-BB6C-6EF6785A8B8F}
50=l_main=1, {678F0BD8-63DD-481D-A51A-3BCEBDB57D3C}
50=l_br=1, {46823BDE-1550-4C76-86D1-7393B908042E}
ReacLoc=rx=1, {B478B259-18ED-4BE9-A26B-9DF940E65F0A}
138=rx=1, {5E671AA1-81C1-4CFB-8E04-CDBB0A4F9CFA}
OpLimI=OpLimI_4.6_6.3=0, {8E36B131-8126-45A8-88FE-C20845A61B9A}
138=rx=2, {C1D74175-5F08-4E10-9325-4C54A9A35F53}
PosPt=Reactor.rx=1, {00488D9F-5BFD-43EA-AEB3-20686B08F1AB}
PosPt=Reactor.rx=2, {BFE411A9-20EB-4DA1-AAB9-8795671351C1}
LineLoc=l_main=1, {BB267D67-075E-4F48-A4F4-324B306D674B}
OpLimI=OpLimI_400.0_600.0=0, {926E0166-F86F-40A0-B356-A3A0B84CB0ED}
50=l_main=2, {F46BC103-573D-4FA0-8E3C-0236A3F64C0A}
PosPt=Line.l_main=1, {1A382397-2F41-447D-9DBE-17D39B282F93}
PosPt=Line.l_main=2, {B2DC860E-F329-4B80-9504-E953A47D6365}
LineLoc=l_br=1, {D77ED73B-E96B-4C5D-B1A0-B3540D4EA81C}
50=l_br=2, {B092D0B5-18F7-484D-ADC9-276147AD1DE3}
PosPt=Line.l_br=1, {BE86489D-7C1C-4F47-A867-9412647572EC}
PosPt=Line.l_br=2, {8C2EA4E3-3DC4-477E-AAC9-8B6471CC567C}
LoadResp=ConstkVA=1, {088B6592-2480-4C94-B23A-10F551B64A2F}
LoadResp=ConstZ=1, {D0F10C23-F8ED-4C95-A337-637BF1F5C0BF}
LoadResp=ConstPQuadQ=1, {7C98173F-C13D-4315-AF7D-473362BFDED6}
LoadResp=LinPQuadQ=1, {05EDDD31-CA36-484D-9133-AF2284EFADA5}
LoadResp=ConstI=1, {298360D7-4985-434A-B8C6-62F210491AD9}
LoadResp=ConstQ=1, {17029EB1-708D-479E-9CE4-2358575713D1}
LoadResp=ConstX=1, {75EDCEF2-C374-4A5C-B8D6-39FE27861D09}
LoadLoc=load_b2=1, {7D27E361-05E6-441B-ADA9-9EBE792B80B7}
59=load_b2=1, {E6DC8467-10C3-4731-8F46-DB1B6849EFAC}
PosPt=Load.load_b2=1, {80DAE439-4826-46C6-A067-256B1A19A842}
LoadLoc=load_b3=1, {7AD59C73-4E91-4F21-A985-3CD6037DA0D4}
LoadPhase=load_b3_A=1, {456F1B97-655B-4243-95BD-B6013D0DA48D}
59=load_b3=1, {9714EE61-0A40-4E4B-A936-0D1CCF04AD11}
PosPt=Load.load_b3=1, {A3D22C1D-28A0-459C-8905-99DDDD02C726}
NormAmps=OpLimI_112.4_149.9=1, {6A53D109-0E29-4CEB-9BEC-996F8F5B8093}
EmergAmps=OpLimI_112.4_149.9=1, {47C632F2-1C09-45A0-91E9-1AF26C386FE8}
NormAmps=OpLimI_32.5_43.3=1, {F7BD8299-17B5-4173-8D5D-E1A3B15375E9}
EmergAmps=OpLimI_32.5_43.3=1, {3DBCC804-8D3B-4917-B617-71C46A7B754E}
NormAmps=OpLimI_56.3_75.0=1, {0BDCE71E-546B-4C6A-959C-E74C99DA9405}
EmergAmps=OpLimI_56.3_75.0=1, {2BA22539-3100-47DD-AAE9-C064FA0E0B35}
NormAmps=OpLimI_4.6_6.3=1, {4AD499C1-580B-4DDB-8D3A-BD7325CBB047}
EmergAmps=OpLimI_4.6_6.3=1, {F05199E6-768E-453A-B00D-C1B6D7A58221}
NormAmps=OpLimI_400.0_600.0=1, {5C7BD89F-2305-4038-B5F7-BF0292358EA7}
EmergAmps=OpLimI_400.0_600.0=1, {10A34BBE-FA12-4DAE-8A30-757EC9B1DCE3}
